parents,labels,short,old_desription
,Click on a<br>Category,,
Click on a<br>Category,Leadership,,
Click on a<br>Category,Practical,,
Click on a<br>Category,Computer<br>Aided<br>Design,,
Click on a<br>Category,Robotics,,
Click on a<br>Category,Additive<br>Manufacturing,,
Click on a<br>Category,Programming,,
Additive<br>Manufacturing, Preform Software ,Edited and prepared CAD files for printing,
Additive<br>Manufacturing,Cura Slicer,Put the finishing touches on 3D models before sending them off to the printer,
Additive<br>Manufacturing,Form 2,"Manufactured a variety of models, products, and molds with a Formlabs Form 2 printer",
Computer<br>Aided<br>Design,Blender,Modeled and animated unique robot procedures for use by the Grain Weevil Corp. in sales and marketing,
Computer<br>Aided<br>Design,CATIA V5,Completed Engineering Graphics course and lab at WSU. Used in Formula SAE to design and perform preliminary testing ,
Computer<br>Aided<br>Design,Fusion 360,Designed and edited clients' CAD files before manufacturing,
Leadership,State Secretary<br>Nebraska FBLA,"Organized bi-annual virtual state conferences, worked with team to create program of work, led committee that hosted several member roundtables",
Leadership,State Vice-President<br>Nebraska FBLA,"Organized bi-annual state conferences, worked with team to create program of work, led committee that created informative resources for the spring conference",
Leadership,Chapter President<br>National Honor Society,Worked with fellow officers to hold meetings and communicate with members,
Leadership,E-Board Chair<br>AAC SAAC,Served as an Executive Boardmember of the American Athletic Conference's Student-Athlete Advisory Committee,
Practical,Forklift Operation,Proficient in forklift operation,
Practical,Microsoft Office Suite,Proficient in all Microsoft Office apps including daily use of Word and Excel,
Practical,Canva,Used Canva on a daily basis to create social media graphics and informative pieces,
Practical,Website Design,"Designed this website from the ground up using HTML, CSS, Python, and Google Domains",
Practical,Power Tools,Extensive background with power tools from projects such as building a log cabin and disassembling farm equipment,
Robotics, LoRa Communication ,Tested the use cases for LoRa communications in rural settings with two Pycom LoPy 4's,
Robotics, National Finalist ,Placed 4th at the CREATE US Open Championship in the Skills Competition,
Programming,C/C++,Used C/C++ to program robots with both driver and autonomous features. Also used these languages to develop a depth camera enabled with OpenCV,
Programming,Python,Completed a variety of projects in Python both in and out of the classroom,
Programming,HTML,Created this website with HTML along with a few more smaller projects,
Programming,MATLAB,Used MATLAB for data analysis and completed the Engineering Digital Computation course at Wichita State University.,
